n,Yes,No,609794
12/03/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,The Huntington National Bank,IN,46227,Older American,,Phone,12/03/2013,Closed with monetary relief,Yes,No,619963
12/10/2013,Credit card,,Late fee,,,,Citibank,CT,06488,Older American,,Postal mail,12/13/2013,Closed with monetary relief,Yes,Yes,629003
12/10/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,First Tennessee Bank,MI,49286,,,Referral,12/13/2013,Closed with explanation,Yes,No,627994
12/10/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,FL,34787,,,Web,12/10/2013,Closed with non-monetary relief,Yes,No,627960
12/26/2013,Credit card,,Customer service / Customer relations,,,,Amex,CO,80235,,,Web,12/30/2013,Closed with explanation,Yes,No,646152
12/26/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,CA,92673,,,Web,12/26/2013,Closed with explanation,Yes,Yes,646153
11/22/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"I.Q. Data International, Inc.",TX,75007,,,Web,11/22/2013,Closed with explanation,Yes,Yes,609142
01/07/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,FL,33060,Older American,,Web,01/14/2014,Closed with explanation,Yes,No,657147
01/07/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,MI,48161,,,Phone,01/07/2014,Closed with explanation,Yes,Yes,657144
11/15/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,PNC Bank N.A.,OH,43227,,,Referral,11/21/2013,Closed with monetary relief,Yes,No,599797
11/15/2013,Bank account or service,Savings account,"Account opening, closing, or management",,,,Regions Financial Corporation,IL,62563,,,Referral,11/22/2013,Closed,Yes,No,599809
11/15/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD Bank US Holding Company,NJ,07631,,,Referral,11/20/2013,Closed with monetary relief,Yes,No,599760
12/26/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,"TransUnion Intermediate Holdings, Inc.",DC,20019,,,Referral,01/24/2014,Closed with explanation,Yes,No,646134
12/03/2013,Credit card,,Late fee,,,,Capital One,CA,95407,,,Fax,12/04/2013,Closed with monetary relief,Yes,Yes,619338
12/03/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,"Navient Solutions, Inc.",GA,30157,,,Web,12/03/2013,Closed with monetary relief,Yes,No,619343
12/10/2013,Credit card,,Credit determination,,,,Capital One,TN,38135,,,Referral,12/11/2013,Closed with explanation,Yes,No,627998
01/14/2014,Mortgage,Other mortgage,Settlement process and costs,,,,Citibank,MI,48307,,,Referral,01/17/2014,Closed with monetary relief,Yes,No,667996
01/14/2014,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,,,"ECMC Group, Inc.",MN,56358,,,Referral,01/17/2014,Closed with explanation,Yes,No,668630
11/22/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CO,80129,,,Web,11/22/2013,Closed with explanation,Yes,Yes,609145
12/03/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"GLA Collection Company, Inc.",IN,47119,,,Postal mail,12/04/2013,Closed with non-monetary relief,Yes,No,620325
11/15/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",KS,66061,Servicemember,,Postal mail,11/20/2013,Closed with explanation,Yes,Yes,597329
11/15/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,"Citizens Financial Group, Inc.",PA,15235,,,Referral,11/20/2013,Closed with explanation,Yes,No,599856
11/15/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD Bank US Holding Company,FL,32757,,,Referral,11/20/2013,Closed with explanation,Yes,No,599836
01/14/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,AZ,85251,,,Referral,01/17/2014,Closed with explanation,Yes,No,667985
01/07/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,VA,20135,,,Referral,01/06/2014,Closed with explanation,Yes,Yes,657148
01/07/2014,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,RI,02893,,,Postal mail,01/08/2014,Closed with explanation,Yes,Yes,658660
12/03/2013,Debt collection,Federal student loan,Communication tactics,Frequent or repeated calls,,,"URS Holding, LLC",IN,46222,,,Web,12/03/2013,Closed with explanation,Yes,No,619348
11/22/2013,Debt collection,Payday loan,Communication tactics,Frequent or repeated calls,,,"EZCORP, Inc.",TX,75090,,,Phone,11/25/2013,Closed,Yes,No,609151
11/22/2013,Credit card,,Rewards,,,,Wells Fargo & Company,CA,94618,,,Web,11/22/2013,Closed with explanation,Yes,No,609152
11/22/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,RI,02919,,,Web,11/22/2013,Closed with explanation,Yes,No,609154
01/14/2014,Credit card,,Other,,,,JPMorgan Chase & Co.,KY,40013,Older American,,Phone,01/16/2014,Closed with non-monetary relief,Yes,No,668000
01/14/2014,Mortgage,Other mortgage,Settlement process and costs,,,,Wells Fargo & Company,NM,87501,,,Referral,01/17/2014,Closed with explanation,Yes,Yes,668069
01/14/2014,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,"Citizens Financial Group, Inc.",MI,48067,,,Web,01/14/2014,Closed with explanation,Yes,No,668002
01/07/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,CA,95355,Older American,,Postal mail,01/09/2014,Closed with explanation,Yes,Yes,657038
01/07/2014,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"NCC Business Services, Inc.",CA,94531,Servicemember,,Web,01/07/2014,Closed with explanation,Yes,No,657153
12/03/2013,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,,"Valarity, LLC",MO,65712,,,Web,12/09/2013,Closed with explanation,No,No,619351
12/03/2013,Payday loan,Payday loan,Charged fees or interest I didn't expect,Charged fees or interest I didn't expect,,,"Enova International, Inc.",AL,35205,Servicemember,,Web,12/03/2013,Closed with explanation,Yes,No,619353
12/10/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,JPMorgan Chase & Co.,GA,30044,,,Postal mail,12/18/2013,Closed with explanation,Yes,No,628003
12/10/2013,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,"Fein, Such, Kahn & Shepard, P.C.",NY,14041,,,Referral,12/11/2013,Closed with explanation,Yes,Yes,628007
12/10/2013,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,HSBC North America Holdings Inc.,NY,14041,,,Referral,12/11/2013,Closed with explanation,Yes,No,628008
12/26/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Equifax,DC,20019,,,Referral,01/24/2014,Closed with non-monetary relief,Yes,No,646135
12/26/2013,Credit card,,APR or interest rate,,,,JPMorgan Chase & Co.,OK,74135,,,Web,12/26/2013,Closed with explanation,Yes,No,646163
11/15/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,GA,30187,,,Referral,11/20/2013,Closed with explanation,Yes,No,599879
01/07/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo & Company,DC,20008,,,Web,01/06/2014,Closed with monetary relief,Yes,No,657155
01/07/2014,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,,,"RevSolve, Inc.",AZ,86327,,,Web,01/07/2014,Closed with explanation,Yes,No,657156
12/03/2013,Credit card,,Closing/Cancelling account,,,,Discover,OH,43205,,,Web,12/03/2013,Closed with monetary relief,Yes,No,619355
12/26/2013,Credit reporting,,Incorrect information on credit report,Information is not mine,,,Equifax,AZ,85255,,,Postal mail,01/02/2014,Closed with explanation,Yes,Yes,644195
